"Date" "S.P.500.COMPOSITE...PRICE.INDEX" "X3M" "ABBOTT.LABORATORIES" "ALCOA" "ALTRIA.GROUP" "AMER.ELEC.PWR." "AMERICAN.EXPRESS" "APPLE" "AVON.PRODUCTS" "BANK.OF.AMERICA" "BAXTER.INTL." "BOEING" "BRISTOL.MYERS.SQUIBB" "CVS.CAREMARK" "CAMPBELL.SOUP" "CATERPILLAR" "CHEVRON" "COCA.COLA" "COLGATE.PALM." "COMCAST..A." "CONOCOPHILLIPS" "DOW.CHEMICAL" "E.I.DU.PONT.DE.NEMOURS" "ENTERGY" "EXELON" "EXXON.MOBIL" "FEDEX" "FORD.MOTOR" "GENERAL.DYNAMICS" "GENERAL.ELECTRIC" "HALLIBURTON" "HJ.HEINZ" "HEWLETT.PACKARD" "INTEL" "INTERNATIONAL.BUS.MCHS." "JP.MORGAN.CHASE...CO." "JOHNSON...JOHNSON" "LOWE.S.COMPANIES" "MCDONALDS" "MEDTRONIC" "MERCK...CO." "NIKE..B." "OCCIDENTAL.PTL." "PEPSICO" "PFIZER" "PROCTER...GAMBLE" "RAYTHEON..B." "SARA.LEE" "SCHLUMBERGER" "SOUTHERN" "SPRINT.NEXTEL" "TARGET" "TEXAS.INSTS." "BANK.OF.NEW.YORK.MELLON" "UNITED.TECHNOLOGIES" "WAL.MART.STORES" "WALGREEN" "WALT.DISNEY" "WELLS.FARGO...CO" "WEYERHAEUSER" "WILLIAMS.COS." "XEROX"
"1" "1995/1/2" 6.129638272 3.245766994 2.724999087 2.382144607 1.489820696 3.49271249 2.152645534 2.277267285 2.010734344 2.423146488 2.519831289 3.157000421 2.621642278 1.895834159 3.046506183 2.623312601 3.10514706 3.248434627 2.762771945 1.573541268 2.795755782 3.109801756 3.334434166 3.085344432 2.505525937 2.720472721 2.712208211 2.317000687 2.386466577 2.139960276 2.065849588 3.094404976 2.279398346 1.384342457 2.910991045 2.481425598 2.616483008 1.468726519 2.682732393 1.939187603 2.892691288 2.23303135 2.26436388 2.813646689 1.862140266 2.733165489 3.463780868 2.375063882 2.417956334 2.495986705 2.214158169 1.774240233 1.543234005 2.06532994 2.061710268 2.363209715 1.696184254 2.716547331 1.765364158 3.624340933 2.040921583 2.803257345
"2" "1995/1/3" 6.129289833 3.257407839 2.728819681 2.369074834 1.492004816 3.49271249 2.144128489 2.261117057 2.021136883 2.436897431 2.51539544 3.151667075 2.63024 1.91189529 3.052169316 2.621038824 3.102342009 3.253277252 2.754857448 1.573541268 2.791931685 3.096708191 3.33220451 3.107944264 2.515678308 2.718416287 2.714284063 2.317000687 2.386466577 2.139960276 2.077113835 3.101186285 2.264259979 1.382386736 2.914386634 2.491824334 2.611906341 1.454233344 2.678449731 1.902570106 2.895967185 2.197224577 2.283657083 2.806724413 1.845821427 2.739193508 3.457892725 2.384911345 2.432735777 2.489720047 2.20048592 1.763582878 1.524707568 2.05636481 2.061710268 2.34540509 1.721640964 2.730039977 1.760010771 3.66035137 2.045884758 2.782848411
"3" "1995/1/4" 6.132768778 3.245766994 2.728819681 2.371999209 1.513455507 3.504054767 2.148396079 2.286841815 2.014903021 2.445065077 2.528644389 3.148989697 2.63238512 1.907911546 3.052169316 2.618767155 3.113515309 3.231298345 2.742850904 1.565381526 2.788092909 3.128219997 3.329969872 3.113515309 2.510615006 2.722531506 2.712208211 2.343554277 2.397895273 2.139960276 2.102901688 3.104559772 2.271857808 1.380427183 2.922822814 2.508924238 2.621038824 1.435822348 2.674148649 1.900240112 2.892691288 2.19548974 2.270836395 2.792740553 1.844177964 2.731148047 3.457892725 2.389808114 2.437614114 2.502214337 2.191273572 1.761798419 1.517870719 2.064797337 2.065672178 2.380702872 1.721640964 2.721966255 1.743741507 3.63758616 2.070337727 2.790551423
"4" "1995/1/5" 6.131965347 3.245766994 2.72115726 2.364676873 1.489820696 3.504054767 2.152645534 2.274062154 1.99385642 2.453157951 2.528644389 3.151667075 2.638771575 1.91189529 3.049344128 2.632341975 3.113515309 3.22634784 2.710128041 1.540473612 2.780370863 3.11905549 3.32773023 3.113515309 2.515678308 2.724579503 2.722531506 2.334781191 2.392197252 2.142416341 2.095597823 3.104559772 2.266802463 1.388242462 2.917770732 2.519042341 2.616483008 1.435822348 2.678449731 1.900240112 2.882809906 2.19548974 2.257849199 2.771388002 1.849116012 2.716904222 3.457892725 2.384911345 2.432735777 2.495986705 2.177282607 1.777778861 1.517870719 2.064797337 2.059723411 2.392197252 1.721640964 2.719260464 1.754611274 3.657130756 2.084715112 2.794380791
"5" "1995/1/6" 6.132703659 3.241071665 2.705653999 2.393622521 1.489820696 3.511545439 2.156877007 2.351375257 1.995978408 2.450470472 2.537380497 3.170210653 2.63024 1.91189529 3.035077979 2.650159755 3.096708191 3.22634784 2.708050201 1.532038375 2.776487363 3.148097074 3.316456153 3.113515309 2.520716102 2.724579503 2.720472721 2.334781191 2.389331435 2.137509958 2.095597823 3.134411021 2.284390572 1.401798548 2.93285637 2.522387067 2.60960645 1.428371568 2.665490587 1.904909567 2.876165773 2.188508928 2.277267285 2.771388002 1.849116012 2.718950576 3.463780868 2.370103545 2.440040028 2.502214337 2.195890354 1.77070606 1.493600483 2.068987084 2.071598364 2.397895273 1.721640964 2.716547331 1.760010771 3.676300672 2.060628175 2.799467967
"6" "1995/1/9" 6.133029211 3.241071665 2.697811295 2.40356101 1.485460733 3.507807117 2.152645534 2.332221562 1.9874496 2.450470472 2.519831289 3.170210653 2.625950379 1.903896969 3.032199199 2.669828988 3.093879335 3.211347558 2.70387483 1.506297154 2.744864174 3.140914283 3.320981048 3.11905549 2.520716102 2.716349004 2.724579503 2.352251064 2.386466577 2.127636291 2.120919321 3.153829441 2.295540337 1.41706602 2.937838295 2.529059092 2.598049306 1.443241642 2.678449731 1.911850949 2.855958581 2.19548974 2.277267285 2.774973377 1.827560882 2.714853672 3.467687123 2.394671901 2.456884333 2.489720047 2.218670733 1.741921256 1.49886383 2.068987084 2.075533917 2.392197252 1.727220948 2.713826818 1.743741507 3.701301974 2.055737815 2.796927614
"7" "1995/1/10" 6.13487201 3.241071665 2.681938916 2.39931245 1.487654385 3.526360525 2.161079131 2.390769948 1.983150881 2.466513529 2.510947946 3.164947483 2.634518473 1.91189529 3.02351766 2.680596781 3.096708191 3.20122089 2.689125588 1.557154655 2.744864174 3.135494216 3.32773023 3.124565145 2.510615006 2.720472721 2.722531506 2.334781191 2.392197252 2.135053622 2.106521546 3.147397009 2.31020598 1.426500166 2.952626423 2.519042341 2.618759866 1.47590652 2.678449731 1.925619974 2.84913301 2.197224577 2.283657083 2.764165849 1.835903938 2.727094371 3.465735903 2.394671901 2.427833526 2.502214337 2.177282607 1.752810719 1.548221866 2.064797337 2.081389643 2.374905755 1.741009887 2.705613902 1.743741507 3.695110004 2.030920716 2.815803851
"8" "1995/1/11" 6.134828689 3.238717667 2.681938916 2.396476084 1.476683361 3.518980417 2.16945362 2.458519895 1.95037161 2.453157951 2.506472428 3.162305473 2.636647285 1.91189529 3.014755185 2.671994607 3.085344432 3.203762187 2.699681951 1.54883829 2.724579503 3.133679527 3.33220451 3.130044611 2.505525937 2.714284063 2.714284063 2.334781191 2.386466577 2.149725246 2.091925788 3.140927256 2.313841501 1.420840705 2.944438979 2.519042341 2.618759866 1.528097697 2.678449731 1.909542505 2.876165773 2.193751888 2.283657083 2.749563157 1.832581464 2.725064631 3.461822003 2.394671901 2.432735777 2.508411565 2.181964285 1.756425858 1.544899391 2.064797337 2.077489638 2.397895273 1.735524159 2.716547331 1.743741507 3.701301974 2.035933652 2.812061807
"9" "1995/1/12" 6.134785367 3.219671508 2.689906597 2.402149846 1.470060896 3.522677279 2.161079131 2.428671339 1.95037161 2.450470472 2.488367321 3.20122089 2.63238512 1.915877949 3.011817214 2.652361295 3.076736058 3.213863283 2.708050201 1.565381526 2.712208211 3.131865902 3.316456153 3.135494216 2.500410836 2.714284063 2.708050201 2.325930457 2.389331435 2.147287089 2.08824022 3.203839341 2.31020598 1.433964851 2.944438979 2.515678308 2.60960645 1.521284065 2.669828988 1.895563775 2.85935684 2.193751888 2.277267285 2.745885339 1.829247914 2.735178868 3.488902962 2.384911345 2.425368937 2.508411565 2.172578908 1.760010771 1.559785377 2.052108885 2.07356179 2.374905755 1.760010771 2.724664745 1.749199855 3.710518629 2.035933652 2.851330584
"10" "1995/1/13" 6.144121254 3.219671508 2.693863376 2.410596093 1.496314006 3.518980417 2.16945362 2.417590943 1.95700551 2.482303264 2.488367321 3.206297043 2.634518473 1.939403311 3.026416656 2.658950989 3.093879335 3.213863283 2.710128041 1.553015698 2.728669488 3.11905549 3.334434166 3.130044611 2.510615006 2.722531506 2.724579503 2.343554277 2.395045762 2.159384244 2.08824022 3.160220762 2.318665114 1.448752595 2.949358438 2.548796523 2.607308631 1.514445682 2.682732393 1.911850949 2.886112701 2.19895641 2.270836395 2.756891158 1.852384091 2.7411948 3.49271249 2.375063882 2.422907125 2.508411565 2.186624146 1.752810719 1.546562008 2.089701231 2.077489638 2.397895273 1.749199855 2.730039977 1.77070606 3.713572067 2.045884758 2.8797994
